t,f,m,y,l,r,RateOfProductionByTechnologyByMode
LNDRICIRR,WTRRUN,1,2031,S11,RE1,1.3363
LNDRICIRR,WTRRUN,1,2032,S11,RE1,1.3631
LNDRICIRR,WTRRUN,1,2033,S11,RE1,1.3909
LNDRICIRR,WTRRUN,1,2034,S11,RE1,1.4185
LNDRICIRR,WTRRUN,1,2035,S11,RE1,1.4468
LNDRICRNF,CRPRIC,1,2020,S11,RE1,0.8638
LNDRICRNF,CRPRIC,1,2021,S11,RE1,0.7776
LNDRICRNF,CRPRIC,1,2022,S11,RE1,0.6908
LNDRICRNF,CRPRIC,1,2023,S11,RE1,0.6046
LNDRICRNF,CRPRIC,1,2024,S11,RE1,0.5184
LNDRICRNF,CRPRIC,1,2025,S11,RE1,0.4316
LNDRICRNF,CRPRIC,1,2026,S11,RE1,0.3454
LNDRICRNF,CRPRIC,1,2027,S11,RE1,0.2592
LNDRICRNF,CRPRIC,1,2028,S11,RE1,0.173
LNDRICRNF,CRPRIC,1,2029,S11,RE1,0.0862
LNDRICRNF,CRPRIC,1,2030,S11,RE1,0.0
LNDRICRNF,CRPRIC,1,2031,S11,RE1,0.0
LNDRICRNF,CRPRIC,1,2032,S11,RE1,0.0
LNDRICRNF,CRPRIC,1,2033,S11,RE1,0.0
LNDRICRNF,CRPRIC,1,2034,S11,RE1,0.0
LNDRICRNF,CRPRIC,1,2035,S11,RE1,0.0
LNDRICRNF,WTREVT,1,2020,S11,RE1,0.8538
LNDRICRNF,WTREVT,1,2021,S11,RE1,0.7686
LNDRICRNF,WTREVT,1,2022,S11,RE1,0.6828
LNDRICRNF,WTREVT,1,2023,S11,RE1,0.5976
LNDRICRNF,WTREVT,1,2024,S11,RE1,0.5124
LNDRICRNF,WTREVT,1,2025,S11,RE1,0.4266
LNDRICRNF,WTREVT,1,2026,S11,RE1,0.3414
LNDRICRNF,WTREVT,1,2027,S11,RE1,0.2562
LNDRICRNF,WTREVT,1,2028,S11,RE1,0.171
LNDRICRNF,WTREVT,1,2029,S11,RE1,0.0852
LNDRICRNF,WTREVT,1,2030,S11,RE1,0.0
LNDRICRNF,WTREVT,1,2031,S11,RE1,0.0
LNDRICRNF,WTREVT,1,2032,S11,RE1,0.0
LNDRICRNF,WTREVT,1,2033,S11,RE1,0.0
LNDRICRNF,WTREVT,1,2034,S11,RE1,0.0
LNDRICRNF,WTREVT,1,2035,S11,RE1,0.0
LNDRICRNF,WTRGWT,1,2020,S11,RE1,0.0854
LNDRICRNF,WTRGWT,1,2021,S11,RE1,0.0769
LNDRICRNF,WTRGWT,1,2022,S11,RE1,0.0683
LNDRICRNF,WTRGWT,1,2023,S11,RE1,0.0598
LNDRICRNF,WTRGWT,1,2024,S11,RE1,0.0512
LNDRICRNF,WTRGWT,1,2025,S11,RE1,0.0427
LNDRICRNF,WTRGWT,1,2026,S11,RE1,0.0341
LNDRICRNF,WTRGWT,1,2027,S11,RE1,0.0256
LNDRICRNF,WTRGWT,1,2028,S11,RE1,0.0171
LNDRICRNF,WTRGWT,1,2029,S11,RE1,0.0085
LNDRICRNF,WTRGWT,1,2030,S11,RE1,0.0
LNDRICRNF,WTRGWT,1,2031,S11,RE1,0.0
LNDRICRNF,WTRGWT,1,2032,S11,RE1,0.0
LNDRICRNF,WTRGWT,1,2033,S11,RE1,0.0
LNDRICRNF,WTRGWT,1,2034,S11,RE1,0.0
LNDRICRNF,WTRGWT,1,2035,S11,RE1,0.0
LNDRICRNF,WTRRUN,1,2020,S11,RE1,0.7684
LNDRICRNF,WTRRUN,1,2021,S11,RE1,0.6917
LNDRICRNF,WTRRUN,1,2022,S11,RE1,0.6145
LNDRICRNF,WTRRUN,1,2023,S11,RE1,0.5378
LNDRICRNF,WTRRUN,1,2024,S11,RE1,0.4612
LNDRICRNF,WTRRUN,1,2025,S11,RE1,0.3839
LNDRICRNF,WTRRUN,1,2026,S11,RE1,0.3073
LNDRICRNF,WTRRUN,1,2027,S11,RE1,0.2306
LNDRICRNF,WTRRUN,1,2028,S11,RE1,0.1539
LNDRICRNF,WTRRUN,1,2029,S11,RE1,0.0767
LNDRICRNF,WTRRUN,1,2030,S11,RE1,0.0
LNDRICRNF,WTRRUN,1,2031,S11,RE1,0.0
LNDRICRNF,WTRRUN,1,2032,S11,RE1,0.0
LNDRICRNF,WTRRUN,1,2033,S11,RE1,0.0
LNDRICRNF,WTRRUN,1,2034,S11,RE1,0.0
LNDRICRNF,WTRRUN,1,2035,S11,RE1,0.0
LNDWAT,LWAT,1,2020,S11,RE1,24.9873
LNDWAT,LWAT,1,2021,S11,RE1,23.0163
LNDWAT,LWAT,1,2022,S11,RE1,8.3342
LNDWAT,LWAT,1,2023,S11,RE1,0.0
LNDWAT,LWAT,1,2024,S11,RE1,2.2117
LNDWAT,LWAT,1,2025,S11,RE1,6.4073
LNDWAT,LWAT,1,2026,S11,RE1,25.021
LNDWAT,LWAT,1,2027,S11,RE1,25.021
LNDWAT,LWAT,1,2028,S11,RE1,25.021
LNDWAT,LWAT,1,2029,S11,RE1,25.021
LNDWAT,LWAT,1,2030,S11,RE1,25.021
LNDWAT,LWAT,1,2031,S11,RE1,24.7651
LNDWAT,LWAT,1,2032,S11,RE1,24.4082
LNDWAT,LWAT,1,2033,S11,RE1,24.0505
LNDWAT,LWAT,1,2034,S11,RE1,23.7927
LNDWAT,LWAT,1,2035,S11,RE1,23.4318
LNDWAT,WTREVT,1,2020,S11,RE1,9.9949
LNDWAT,WTREVT,1,2021,S11,RE1,9.2065
LNDWAT,WTREVT,1,2022,S11,RE1,3.3337
LNDWAT,WTREVT,1,2023,S11,RE1,0.0
LNDWAT,WTREVT,1,2024,S11,RE1,0.8847
LNDWAT,WTREVT,1,2025,S11,RE1,2.5629
LNDWAT,WTREVT,1,2026,S11,RE1,10.0084
LNDWAT,WTREVT,1,2027,S11,RE1,10.0084
LNDWAT,WTREVT,1,2028,S11,RE1,10.0084
LNDWAT,WTREVT,1,2029,S11,RE1,10.0084
LNDWAT,WTREVT,1,2030,S11,RE1,10.0084
LNDWAT,WTREVT,1,2031,S11,RE1,9.906
LNDWAT,WTREVT,1,2032,S11,RE1,9.7633
LNDWAT,WTREVT,1,2033,S11,RE1,9.6202
LNDWAT,WTREVT,1,2034,S11,RE1,9.5171
LNDWAT,WTREVT,1,2035,S11,RE1,9.3727
LNDWAT,WTRGWT,1,2020,S11,RE1,1.999
LNDWAT,WTRGWT,1,2021,S11,RE1,1.8413
LNDWAT,WTRGWT,1,2022,S11,RE1,0.6667
LNDWAT,WTRGWT,1,2023,S11,RE1,0.0
LNDWAT,WTRGWT,1,2024,S11,RE1,0.1769
LNDWAT,WTRGWT,1,2025,S11,RE1,0.5126
LNDWAT,WTRGWT,1,2026,S11,RE1,2.0017
LNDWAT,WTRGWT,1,2027,S11,RE1,2.0017
LNDWAT,WTRGWT,1,2028,S11,RE1,2.0017
LNDWAT,WTRGWT,1,2029,S11,RE1,2.0017
LNDWAT,WTRGWT,1,2030,S11,RE1,2.0017
LNDWAT,WTRGWT,1,2031,S11,RE1,1.9812
LNDWAT,WTRGWT,1,2032,S11,RE1,1.9527
LNDWAT,WTRGWT,1,2033,S11,RE1,1.924
LNDWAT,WTRGWT,1,2034,S11,RE1,1.9034
LNDWAT,WTRGWT,1,2035,S11,RE1,1.8745
LNDWAT,WTRRUN,1,2020,S11,RE1,17.9909
LNDWAT,WTRRUN,1,2021,S11,RE1,16.5717
LNDWAT,WTRRUN,1,2022,S11,RE1,6.0006
LNDWAT,WTRRUN,1,2023,S11,RE1,0.0
LNDWAT,WTRRUN,1,2024,S11,RE1,1.5924
LNDWAT,WTRRUN,1,2025,S11,RE1,4.6133
LNDWAT,WTRRUN,1,2026,S11,RE1,18.0151
LNDWAT,WTRRUN,1,2027,S11,RE1,18.0151
LNDWAT,WTRRUN,1,2028,S11,RE1,18.0151
LNDWAT,WTRRUN,1,2029,S11,RE1,18.0151
LNDWAT,WTRRUN,1,2030,S11,RE1,18.0151
LNDWAT,WTRRUN,1,2031,S11,RE1,17.8309
LNDWAT,WTRRUN,1,2032,S11,RE1,17.5739
LNDWAT,WTRRUN,1,2033,S11,RE1,17.3164
LNDWAT,WTRRUN,1,2034,S11,RE1,17.1307
LNDWAT,WTRRUN,1,2035,S11,RE1,16.8709
MINCOA,COA,1,2020,S11,RE1,291.0997
MINCOA,COA,1,2021,S11,RE1,325.9716
MINCOA,COA,1,2022,S11,RE1,369.2824
MINCOA,COA,1,2023,S11,RE1,378.432
MINCOA,COA,1,2024,S11,RE1,378.432
MINCOA,COA,1,2025,S11,RE1,355.9538
MINCOA,COA,1,2026,S11,RE1,296.7483
MINCOA,COA,1,2027,S11,RE1,303.738
MINCOA,COA,1,2028,S11,RE1,209.4891
MINCOA,COA,1,2029,S11,RE1,319.1566
MINCOA,COA,1,2030,S11,RE1,189.216
MINCOA,COA,1,2031,S11,RE1,189.216
MINCOA,COA,1,2032,S11,RE1,189.216
MINCOA,COA,1,2033,S11,RE1,189.216
MINCOA,COA,1,2034,S11,RE1,189.216
MINCOA,COA,1,2035,S11,RE1,189.216
MINGAS,GAS,1,2020,S11,RE1,0.0
MINGAS,GAS,1,2021,S11,RE1,0.0
MINGAS,GAS,1,2022,S11,RE1,0.0
MINGAS,GAS,1,2023,S11,RE1,24.6377
MINGAS,GAS,1,2024,S11,RE1,55.2921
MINGAS,GAS,1,2025,S11,RE1,102.8292
MINGAS,GAS,1,2026,S11,RE1,178.5382
MINGAS,GAS,1,2027,S11,RE1,210.155
MINGAS,GAS,1,2028,S11,RE1,311.1636
MINGAS,GAS,1,2029,S11,RE1,279.961
MINGAS,GAS,1,2030,S11,RE1,410.3623
MINGAS,GAS,1,2031,S11,RE1,455.7076
MINGAS,GAS,1,2032,S11,RE1,504.7738
MINGAS,GAS,1,2033,S11,RE1,555.7302
MINGAS,GAS,1,2034,S11,RE1,610.4161
MINGAS,GAS,1,2035,S11,RE1,667.004
PWRCOA,ELC001,1,2020,S11,RE1,97.0332
PWRCOA,ELC001,1,2021,S11,RE1,108.6572
PWRCOA,ELC001,1,2022,S11,RE1,123.0941
PWRCOA,ELC001,1,2023,S11,RE1,126.144
PWRCOA,ELC001,1,2024,S11,RE1,126.144
PWRCOA,ELC001,1,2025,S11,RE1,118.6513
PWRCOA,ELC001,1,2026,S11,RE1,98.9161
PWRCOA,ELC001,1,2027,S11,RE1,101.246
PWRCOA,ELC001,1,2028,S11,RE1,69.8297
PWRCOA,ELC001,1,2029,S11,RE1,106.3855
PWRCOA,ELC001,1,2030,S11,RE1,63.072
PWRCOA,ELC001,1,2031,S11,RE1,63.072
PWRCOA,ELC001,1,2032,S11,RE1,63.072
PWRCOA,ELC001,1,2033,S11,RE1,63.072
PWRCOA,ELC001,1,2034,S11,RE1,63.072
PWRCOA,ELC001,1,2035,S11,RE1,63.072
PWRGAS,ELC001,1,2020,S11,RE1,0.0
PWRGAS,ELC001,1,2021,S11,RE1,0.0
PWRGAS,ELC001,1,2022,S11,RE1,0.0
PWRGAS,ELC001,1,2023,S11,RE1,12.3189
PWRGAS,ELC001,1,2024,S11,RE1,27.646
PWRGAS,ELC001,1,2025,S11,RE1,51.4146
PWRGAS,ELC001,1,2026,S11,RE1,89.2691
PWRGAS,ELC001,1,2027,S11,RE1,105.0775
PWRGAS,ELC001,1,2028,S11,RE1,155.5818
PWRGAS,ELC001,1,2029,S11,RE1,139.9805
PWRGAS,ELC001,1,2030,S11,RE1,205.1812
PWRGAS,ELC001,1,2031,S11,RE1,227.8538
PWRGAS,ELC001,1,2032,S11,RE1,252.3869
PWRGAS,ELC001,1,2033,S11,RE1,277.8651
PWRGAS,ELC001,1,2034,S11,RE1,305.2081
PWRGAS,ELC001,1,2035,S11,RE1,333.502
PWRHYD,ELC001,1,2020,S11,RE1,28.3824
PWRHYD,ELC001,1,2021,S11,RE1,28.3824
PWRHYD,ELC001,1,2022,S11,RE1,28.3824
PWRHYD,ELC001,1,2023,S11,RE1,28.3824
PWRHYD,ELC001,1,2024,S11,RE1,28.3824
PWRHYD,ELC001,1,2025,S11,RE1,28.3824
PWRHYD,ELC001,1,2026,S11,RE1,28.3824
PWRHYD,ELC001,1,2027,S11,RE1,28.3824
PWRHYD,ELC001,1,2028,S11,RE1,28.3824
PWRHYD,ELC001,1,2029,S11,RE1,28.3824
PWRHYD,ELC001,1,2030,S11,RE1,28.3824
PWRHYD,ELC001,1,2031,S11,RE1,28.3824
PWRHYD,ELC001,1,2032,S11,RE1,28.3824
PWRHYD,ELC001,1,2033,S11,RE1,28.3824
PWRHYD,ELC001,1,2034,S11,RE1,28.3824
PWRHYD,ELC001,1,2035,S11,RE1,28.3824
PWRSOL,ELC002,1,2020,S11,RE1,12.299
PWRSOL,ELC002,1,2021,S11,RE1,12.299
PWRSOL,ELC002,1,2022,S11,RE1,12.299
PWRSOL,ELC002,1,2023,S11,RE1,12.299
PWRSOL,ELC002,1,2024,S11,RE1,12.299
PWRSOL,ELC002,1,2025,S11,RE1,12.299
PWRSOL,ELC002,1,2026,S11,RE1,12.299
PWRSOL,ELC002,1,2027,S11,RE1,12.299
PWRSOL,ELC002,1,2028,S11,RE1,12.299
PWRSOL,ELC002,1,2029,S11,RE1,12.299
PWRSOL,ELC002,1,2030,S11,RE1,12.299
PWRSOL,ELC002,1,2031,S11,RE1,12.299
PWRSOL,ELC002,1,2032,S11,RE1,12.299
PWRSOL,ELC002,1,2033,S11,RE1,12.299
PWRSOL,ELC002,1,2034,S11,RE1,12.299
PWRSOL,ELC002,1,2035,S11,RE1,12.299
PWRTRN,ELC002,1,2020,S11,RE1,127.7748
PWRTRN,ELC002,1,2021,S11,RE1,138.2364
PWRTRN,ELC002,1,2022,S11,RE1,151.2296
PWRTRN,ELC002,1,2023,S11,RE1,165.0614
PWRTRN,ELC002,1,2024,S11,RE1,178.8559
PWRTRN,ELC002,1,2025,S11,RE1,193.5042
PWRTRN,ELC002,1,2026,S11,RE1,209.8116
PWRTRN,ELC002,1,2027,S11,RE1,226.1361
PWRTRN,ELC002,1,2028,S11,RE1,243.3153
PWRTRN,ELC002,1,2029,S11,RE1,262.1743
PWRTRN,ELC002,1,2030,S11,RE1,281.8728
PWRTRN,ELC002,1,2031,S11,RE1,302.2781
PWRTRN,ELC002,1,2032,S11,RE1,324.3579
PWRTRN,ELC002,1,2033,S11,RE1,347.2883
PWRTRN,ELC002,1,2034,S11,RE1,371.897
PWRTRN,ELC002,1,2035,S11,RE1,397.3615
PWRWND,ELC001,1,2020,S11,RE1,16.5564
PWRWND,ELC001,1,2021,S11,RE1,16.5564
PWRWND,ELC001,1,2022,S11,RE1,16.5564
PWRWND,ELC001,1,2023,S11,RE1,16.5564
PWRWND,ELC001,1,2024,S11,RE1,16.5564
PWRWND,ELC001,1,2025,S11,RE1,16.5564
PWRWND,ELC001,1,2026,S11,RE1,16.5564
PWRWND,ELC001,1,2027,S11,RE1,16.5564
PWRWND,ELC001,1,2028,S11,RE1,16.5564
PWRWND,ELC001,1,2029,S11,RE1,16.5564
PWRWND,ELC001,1,2030,S11,RE1,16.5564
PWRWND,ELC001,1,2031,S11,RE1,16.5564
PWRWND,ELC001,1,2032,S11,RE1,16.5564
PWRWND,ELC001,1,2033,S11,RE1,16.5564
PWRWND,ELC001,1,2034,S11,RE1,16.5564
PWRWND,ELC001,1,2035,S11,RE1,16.5564
RSCHYD,HYD,1,2020,S11,RE1,28.3824
RSCHYD,HYD,1,2021,S11,RE1,28.3824
RSCHYD,HYD,1,2022,S11,RE1,28.3824
RSCHYD,HYD,1,2023,S11,RE1,28.3824
RSCHYD,HYD,1,2024,S11,RE1,28.3824
RSCHYD,HYD,1,2025,S11,RE1,28.3824
RSCHYD,HYD,1,2026,S11,RE1,28.3824
RSCHYD,HYD,1,2027,S11,RE1,28.3824
RSCHYD,HYD,1,2028,S11,RE1,28.3824
RSCHYD,HYD,1,2029,S11,RE1,28.3824
RSCHYD,HYD,1,2030,S11,RE1,28.3824
RSCHYD,HYD,1,2031,S11,RE1,28.3824
RSCHYD,HYD,1,2032,S11,RE1,28.3824
RSCHYD,HYD,1,2033,S11,RE1,28.3824
RSCHYD,HYD,1,2034,S11,RE1,28.3824
RSCHYD,HYD,1,2035,S11,RE1,28.3824
RSCHYD,WTRSUR,1,2020,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2021,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2022,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2023,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2024,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2025,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2026,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2027,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2028,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2029,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2030,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2031,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2032,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2033,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2034,S11,RE1,81.0926
RSCHYD,WTRSUR,1,2035,S11,RE1,81.0926
RSCLND,LND,1,2020,S11,RE1,300.0
RSCLND,LND,1,2021,S11,RE1,300.0
RSCLND,LND,1,2022,S11,RE1,300.0
RSCLND,LND,1,2023,S11,RE1,300.0
RSCLND,LND,1,2024,S11,RE1,300.0
RSCLND,LND,1,2025,S11,RE1,300.0
RSCLND,LND,1,2026,S11,RE1,300.0
RSCLND,LND,1,2027,S11,RE1,300.0
RSCLND,LND,1,2028,S11,RE1,300.0
RSCLND,LND,1,2029,S11,RE1,300.0
RSCLND,LND,1,2030,S11,RE1,300.0
RSCLND,LND,1,2031,S11,RE1,300.0
RSCLND,LND,1,2032,S11,RE1,300.0
RSCLND,LND,1,2033,S11,RE1,300.0
RSCLND,LND,1,2034,S11,RE1,300.0
RSCLND,LND,1,2035,S11,RE1,300.0
RSCPRC,WTRPRC,1,2020,S11,RE1,360.0
RSCPRC,WTRPRC,1,2021,S11,RE1,345.7949
RSCPRC,WTRPRC,1,2022,S11,RE1,316.2412
RSCPRC,WTRPRC,1,2023,S11,RE1,294.424
RSCPRC,WTRPRC,1,2024,S11,RE1,285.1456
RSCPRC,WTRPRC,1,2025,S11,RE1,278.3959
RSCPRC,WTRPRC,1,2026,S11,RE1,360.0
RSCPRC,WTRPRC,1,2027,S11,RE1,360.0
RSCPRC,WTRPRC,1,2028,S11,RE1,360.0
RSCPRC,WTRPRC,1,2029,S11,RE1,360.0
RSCPRC,WTRPRC,1,2030,S11,RE1,360.0
RSCPRC,WTRPRC,1,2031,S11,RE1,360.0
RSCPRC,WTRPRC,1,2032,S11,RE1,360.0
RSCPRC,WTRPRC,1,2033,S11,RE1,360.0
RSCPRC,WTRPRC,1,2034,S11,RE1,360.0
RSCPRC,WTRPRC,1,2035,S11,RE1,360.0
RSCSOL,SOL,1,2020,S11,RE1,12.299
RSCSOL,SOL,1,2021,S11,RE1,12.299
RSCSOL,SOL,1,2022,S11,RE1,12.299
RSCSOL,SOL,1,2023,S11,RE1,12.299
RSCSOL,SOL,1,2024,S11,RE1,12.299
RSCSOL,SOL,1,2025,S11,RE1,12.299
RSCSOL,SOL,1,2026,S11,RE1,12.299
RSCSOL,SOL,1,2027,S11,RE1,12.299
RSCSOL,SOL,1,2028,S11,RE1,12.299
RSCSOL,SOL,1,2029,S11,RE1,12.299
RSCSOL,SOL,1,2030,S11,RE1,12.299
RSCSOL,SOL,1,2031,S11,RE1,12.299
RSCSOL,SOL,1,2032,S11,RE1,12.299
RSCSOL,SOL,1,2033,S11,RE1,12.299
RSCSOL,SOL,1,2034,S11,RE1,12.299
RSCSOL,SOL,1,2035,S11,RE1,12.299
RSCWND,WND,1,2020,S11,RE1,16.5564
RSCWND,WND,1,2021,S11,RE1,16.5564
RSCWND,WND,1,2022,S11,RE1,16.5564
RSCWND,WND,1,2023,S11,RE1,16.5564
RSCWND,WND,1,2024,S11,RE1,16.5564
RSCWND,WND,1,2025,S11,RE1,16.5564
RSCWND,WND,1,2026,S11,RE1,16.5564
RSCWND,WND,1,2027,S11,RE1,16.5564
RSCWND,WND,1,2028,S11,RE1,16.5564
RSCWND,WND,1,2029,S11,RE1,16.5564
RSCWND,WND,1,2030,S11,RE1,16.5564
RSCWND,WND,1,2031,S11,RE1,16.5564
RSCWND,WND,1,2032,S11,RE1,16.5564
RSCWND,WND,1,2033,S11,RE1,16.5564
RSCWND,WND,1,2034,S11,RE1,16.5564
RSCWND,WND,1,2035,S11,RE1,16.5564
UPSWTRSUR,WTRSUR,1,2020,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2021,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2022,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2023,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2024,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2025,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2026,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2027,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2028,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2029,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2030,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2031,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2032,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2033,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2034,S11,RE1,0.0
UPSWTRSUR,WTRSUR,1,2035,S11,RE1,0.0
DEMAGRDSL,AGRDSL,1,2020,S12,RE1,2.0597
DEMAGRDSL,AGRDSL,1,2021,S12,RE1,2.1353
DEMAGRDSL,AGRDSL,1,2022,S12,RE1,2.2212
DEMAGRDSL,AGRDSL,1,2023,S12,RE1,2.3064
DEMAGRDSL,AGRDSL,1,2024,S12,RE1,2.3932
DEMAGRDSL,AGRDSL,1,2025,S12,RE1,2.4916
DEMAGRDSL,AGRDSL,1,2026,S12,RE1,2.5788
DEMAGRDSL,AGRDSL,1,2027,S12,RE1,2.6672
DEMAGRDSL,AGRDSL,1,2028,S12,RE1,2.7676
DEMAGRDSL,AGRDSL,1,2029,S12,RE1,2.8684
DEMAGRDSL,AGRDSL,1,2030,S12,RE1,2.9704
DEMAGRDSL,AGRDSL,1,2031,S12,RE1,3.0468
DEMAGRDSL,AGRDSL,1,2032,S12,RE1,3.1236
DEMAGRDSL,AGRDSL,1,2033,S12,RE1,3.2009
DEMAGRDSL,AGRDSL,1,2034,S12,RE1,3.2782
DEMAGRDSL,AGRDSL,1,2035,S12,RE1,3.3571
DEMAGRGWTWAT,AGRWAT,1,2020,S12,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2021,S12,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2022,S12,RE1,0.1163
DEMAGRGWTWAT,AGRWAT,1,2023,S12,RE1,0.245
DEMAGRGWTWAT,AGRWAT,1,2024,S12,RE1,0.21
DEMAGRGWTWAT,AGRWAT,1,2025,S12,RE1,0.175
DEMAGRGWTWAT,AGRWAT,1,2026,S12,RE1,0.14
DEMAGRGWTWAT,AGRWAT,1,2027,S12,RE1,0.105
DEMAGRGWTWAT,AGRWAT,1,2028,S12,RE1,0.07
DEMAGRGWTWAT,AGRWAT,1,2029,S12,RE1,0.035
DEMAGRGWTWAT,AGRWAT,1,2030,S12,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2031,S12,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2032,S12,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2033,S12,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2034,S12,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2035,S12,RE1,0.0
DEMAGRSURWAT,AGRWAT,1,2020,S12,RE1,0.3494
DEMAGRSURWAT,AGRWAT,1,2021,S12,RE1,0.5081
DEMAGRSURWAT,AGRWAT,1,2022,S12,RE1,0.56
DEMAGRSURWAT,AGRWAT,1,2023,S12,RE1,0.5988
DEMAGRSURWAT,AGRWAT,1,2024,S12,RE1,0.8026
DEMAGRSURWAT,AGRWAT,1,2025,S12,RE1,1.0137
DEMAGRSURWAT,AGRWAT,1,2026,S12,RE1,1.2178
DEMAGRSURWAT,AGRWAT,1,2027,S12,RE1,1.4225
DEMAGRSURWAT,AGRWAT,1,2028,S12,RE1,1.6348
DEMAGRSURWAT,AGRWAT,1,2029,S12,RE1,1.8479
DEMAGRSURWAT,AGRWAT,1,2030,S12,RE1,2.0612
DEMAGRSURWAT,AGRWAT,1,2031,S12,RE1,2.1128
DEMAGRSURWAT,AGRWAT,1,2032,S12,RE1,2.1649
DEMAGRSURWAT,AGRWAT,1,2033,S12,RE1,2.2173
DEMAGRSURWAT,AGRWAT,1,2034,S12,RE1,2.2698
DEMAGRSURWAT,AGRWAT,1,2035,S12,RE1,2.3233
DEMPUBGWTWAT,PUBWAT,1,2020,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2021,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2022,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2023,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2024,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2025,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2026,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2027,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2028,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2029,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2030,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2031,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2032,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2033,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2034,S12,RE1,0.0
DEMPUBGWTWAT,PUBWAT,1,2035,S12,RE1,0.0
DEMPUBSURWAT,PUBWAT,1,2020,S12,RE1,0.4247
DEMPUBSURWAT,PUBWAT,1,2021,S12,RE1,0.4547
DEMPUBSURWAT,PUBWAT,1,2022,S12,RE1,0.4864
DEMPUBSURWAT,PUBWAT,1,2023,S12,RE1,0.519
DEMPUBSURWAT,PUBWAT,1,2024,S12,RE1,0.5529
DEMPUBSURWAT,PUBWAT,1,2025,S12,RE1,0.5884
DEMPUBSURWAT,PUBWAT,1,2026,S12,RE1,0.6253
DEMPUBSURWAT,PUBWAT,1,2027,S12,RE1,0.6634
DEMPUBSURWAT,PUBWAT,1,2028,S12,RE1,0.7037
DEMPUBSURWAT,PUBWAT,1,2029,S12,RE1,0.7453
DEMPUBSURWAT,PUBWAT,1,2030,S12,RE1,0.789
DEMPUBSURWAT,PUBWAT,1,2031,S12,RE1,0.8344
DEMPUBSURWAT,PUBWAT,1,2032,S12,RE1,0.8816
DEMPUBSURWAT,PUBWAT,1,2033,S12,RE1,0.9309
DEMPUBSURWAT,PUBWAT,1,2034,S12,RE1,0.9823
DEMPUBSURWAT,PUBWAT,1,2035,S12,RE1,1.0363
DEMPWRSURWAT,PWRWAT,1,2020,S12,RE1,0.0285
DEMPWRSURWAT,PWRWAT,1,2021,S12,RE1,0.0315
DEMPWRSURWAT,PWRWAT,1,2022,S12,RE1,0.0349
DEMPWRSURWAT,PWRWAT,1,2023,S12,RE1,0.0382
DEMPWRSURWAT,PWRWAT,1,2024,S12,RE1,0.0416
